Entrevistados,Você está respondendo este formulário como:,Em qual estado você mora ou está localizada a sede da sua empresa?,Qual é a sua faixa etária? ,Qual é a sua faixa de renda mensal? ,"Em média, quanto tempo por dia você dedica exclusivamente à leitura e resposta de e-mails?",Quantas pessoas na sua empresa lidam diretamente com envio e resposta de e-mails? ,Qual é o seu cargo atual ou função principal?,"Em qual área você, profissional individual, atua?",Em qual área a empresa que você está representando atua?,Como você avalia a qualidade das respostas enviadas por você (ou por sua equipe) nos e-mails do dia a dia?,Quanto tempo você considera aceitável gastar por dia apenas respondendo e-mails?,Com que frequência você se sente mentalmente sobrecarregado ao tentar priorizar quais e-mails responder primeiro?,"Como você se sente ao encarar uma grande quantidade de e-mails para responder?
Escolha a opção que mais representa seu sentimento","Quando você percebe que esqueceu de responder um e-mail importante, o que costuma sentir ou fazer?"
Entrevistado 1,Profissional individual,Distrito Federal,51 a 60 anos,De R$ 5.001 a R$ 10.000,Entre 30 minutos e 1 hora,Mais de 50 pessoas,Professora universitária,Educação,Educação,Satisfatória,Menos de 30 minutos,Sempre,Motivado(a) e produtivo(a),Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 2,Profissional individual,Distrito Federal,51 a 60 anos,Acima de R$ 10.000,Mais de 2 horas,Mais de 50 pessoas,Servidor Público,Tecnologia da Informação,Órgão Público,Satisfatória,Entre 30 minutos e 1 hora,Frequentemente,Vejo como uma oportunidade de ser produtivo(a) e resolver pendências.,Peço desculpas e respondo assim que possível
Entrevistado 3,Profissional individual,Distrito Federal,21 a 30 anos,Prefiro não informar,Entre 1 e 2 horas,11 a 50 pessoas,Advogado,Atendimento ao cliente,Não sou um representante de empresa,Satisfatória,Entre 1 e 2 horas,Às vezes,"Não me empolga, mas faz parte do trabalho.",Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 4,Representante de uma empresa,Minas Gerais,21 a 30 anos,De R$ 2.001 a R$ 5.000,Menos de 30 minutos,11 a 50 pessoas,Gestor Jr,Administrativo,Prestação de Serviços,Satisfatória,Menos de 30 minutos,Raramente,"Preferia evitar, mas sei que precisa ser feito.",Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 5,Profissional individual,Amazonas,51 a 60 anos,Acima de R$ 10.000,Menos de 30 minutos,2 a 10 pessoas,Diretor,Judicial,Jurídico,Muito satisfatória,Menos de 30 minutos,Às vezes,"Não me empolga, mas faz parte do trabalho.",Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 6,Pessoal,Amazonas,21 a 30 anos,Até R$ 2.000,Menos de 30 minutos,Não sou um representante de empresa,-,Não sou um profissional individual,Não sou um representante de empresa,Satisfatória,Menos de 30 minutos,Às vezes,"Não me empolga, mas faz parte do trabalho.",Peço desculpas e respondo assim que possível
Entrevistado 7,Representante de uma empresa,São Paulo,61 a 70 anos,Acima de R$ 10.000,Menos de 30 minutos,Mais de 50 pessoas,GERENTE NACIONAL DE AUTOPECAS,Comercial/Vendas,Comercial/Vendas,Satisfatória,Menos de 30 minutos,Frequentemente,"Não me empolga, mas faz parte do trabalho.","Tento evitar que aconteça, mas não me afeta tanto"
Entrevistado 8,Profissional individual,Distrito Federal,21 a 30 anos,De R$ 2.001 a R$ 5.000,Entre 30 minutos e 1 hora,Apenas eu,Consultor Financeiro,Comercial e atendimento ao cliente,Não sou um representante de empresa,Satisfatória,Entre 30 minutos e 1 hora,Raramente,"Preferia evitar, mas sei que precisa ser feito.",Peço desculpas e respondo assim que possível
Entrevistado 9,Profissional individual,Distrito Federal,41 a 50 anos,Acima de R$ 10.000,Menos de 30 minutos,2 a 10 pessoas,Professor ,Educação,Educação,Neutra,Menos de 30 minutos,Raramente,"Não me empolga, mas faz parte do trabalho.",Peço desculpas e respondo assim que possível
Entrevistado 10,Empresário ,Minas Gerais,51 a 60 anos,De R$ 5.001 a R$ 10.000,Entre 1 e 2 horas,Apenas eu,Proprietária da Empresa ,Prestação de serviços ,Restauração de bens culturais ,Satisfatória,Menos de 30 minutos,Às vezes,"Preferia evitar, mas sei que precisa ser feito.",Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 11,Profissional individual,Minas Gerais,61 a 70 anos,Acima de R$ 10.000,Menos de 30 minutos,Mais de 50 pessoas,Coordenador de curso,Educação,Educação,Satisfatória,Menos de 30 minutos,Frequentemente,Vejo como uma oportunidade de ser produtivo(a) e resolver pendências.,Fico muito preocupado(a) e tento resolver imediatamente
Entrevistado 12,Representante de uma empresa,Distrito Federal,61 a 70 anos,Acima de R$ 10.000,Entre 1 e 2 horas,Mais de 50 pessoas,Professor da instituição ,Não sou um profissional individual,Educação,Insatisfatória,Menos de 30 minutos,Frequentemente,"Preferia evitar, mas sei que precisa ser feito.",Peço desculpas e respondo assim que possível
Entrevistado 13,Profissional individual,Minas Gerais,51 a 60 anos,De R$ 5.001 a R$ 10.000,Entre 30 minutos e 1 hora,Não sou um representante de empresa,Individual ,Administrativo,Administrativo,Satisfatória,Entre 30 minutos e 1 hora,Sempre,"Não me empolga, mas faz parte do trabalho.",Peço desculpas e respondo assim que possível
